#Source City,Destination City
Xi An,Mildenhall
Xi An,Harbin
Xi An,Kunming
Xi An,Lhasa
Xi An,Linyi
Xi An,Jinan
Xi An,Urumqi
Xi An,Yulin
Xi An,Xiamen
Xi An,Xining
Xi An,Yibin
Xiamen,Changsha
Xiamen,Chengdu
Xiamen,Changzhou
Xiamen,Kunming
Xiamen,Ganzhou
Xiamen,Xi An
Xining,Chongqing
Xining,Chengdu
Xining,Lhasa
Xining,Mian Yang
Xining,Xi An
Xuzhou,Chengdu
Xuzhou,Dalian
Xuzhou,Harbin
Xuzhou,Kunming
Xuzhou,Guiyang
Xuzhou,Shenyang
Yibin,Sanya
Yibin,Xi An
Yichang,Chongqing
Yichang,Chengdu
Yichang,Hong Kong
Vancouver,Shenyang
Zhanjiang,Chongqing
Zhanjiang,Hong Kong
Zhuhai,Changzhou
Zhuhai,Haikou
Las Vegas,Los Angeles
Los Angeles,Las Vegas
Cairo,Tel Aviv Yafo
Tel Aviv Yafo,Cairo
Mcgrath,Nikolai
Mcgrath,Takotna
Nikolai,Mcgrath
Takotna,Tatalina
Tatalina,Mcgrath
Nukus,Moscow
Novy Urengoy,Tyumen
Novy Urengoy,Ufa
Novy Urengoy,Moscow
Nadym,Moscow
Tyumen,Novy Urengoy
Ukhta,Moscow
Ufa,Novy Urengoy
Moscow,Nukus
Moscow,Novy Urengoy
Moscow,Nadym
Moscow,Ukhta
Bangkok,Dhaka
Barisal,Dhaka
Kolkata,Chittagong
Kolkata,Dhaka
Chittagong,Kolkata
Chittagong,Dhaka
Chittagong,Muscat
Dhaka,Bangkok
Dhaka,Barisal
Dhaka,Kolkata
Dhaka,Chittagong
Dhaka,Dubai
Dhaka,Jeddah
Dhaka,Jessore
Dhaka,Kathmandu
Dhaka,Kuala Lumpur
Dhaka,Muscat
Dhaka,Saidpur
Dhaka,Sylhet
Dubai,Dhaka
Jeddah,Dhaka
Jessore,Dhaka
Kathmandu,Dhaka
Kuala Lumpur,Dhaka
